Time (min),T (deg C)
0,100
1,110
2,120
3,130
4,140
5,150
6,160
7,170
8,180
9,190
10,200
11,210
12,220
13,230
14,240
15,250
16,260
17,270
18,280
19,290
20,300
21,310
22,320
23,330
24,340
25,350
26,360
27,370
28,380
29,390
30,400
31,410
32,420
33,430
34,440
35,450
36,460
37,470
38,480
39,490
40,500
41,510
42,520
43,530
44,540
45,550
46,560
47,570
48,580
49,590
50,600
51,610
52,620
53,630
54,640
55,650
56,660
57,670
58,680
59,690
60,700
